Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance,child_left_label,child_right_label,parent_label,child_left_abstract_count,child_left_abstract_share,child_left_selected,child_right_abstract_count,child_right_abstract_share,child_right_selected,parent_abstract_count,parent_abstract_share,parent_selected,merge_priority
83,images_image_deep_training_segmentation,"[9, 18, 19, 35]",67,images_image_gans_quantization_training,35,settlements_informal settlements_informal_satellite_dvs,0.9776075172326713,,,,,,,,,,,,,review_under_threshold_child
82,continual_continual learning_preference_preference optimization_rehearsal,"[43, 45, 50]",76,preference_preference optimization_reward_rlar_omni,50,continual_continual learning_rehearsal_forgetting_parameter regularization,0.9776046143895073,,,,,,,,,,,,,review_under_threshold_child
81,fuzzy_search_mutation_optimization_problem,"[20, 23, 25, 29]",63,mutation_search_optimization_tsp_local search,77,fuzzy_price_pricing_bandits_decision,0.9766266351296908,,,,,,,,,,,,,review_under_threshold_child
80,chatgpt_scrambled_gpt_language_llms,"[22, 34, 44, 51]",51,scoring_batcheval_controlled generation_text evaluation_human settlement,78,chatgpt_scrambled_mathematics_gpt_mathematical,0.97219449489816,,,,,,,,,,,,,review_under_threshold_child
79,entity_ontology_knowledge_entities_graph,"[4, 16, 26, 31]",58,ontology_ontologies_knowledge_owl_knowledge graphs,61,entity_entities_extraction_word_tables,0.9690687205438101,,,,,,,,,,,,,review_under_threshold_child
78,chatgpt_scrambled_mathematics_gpt_mathematical,"[22, 34, 44]",72,chatgpt_mathematics_mathematical_language_problems,44,scrambled_revision_review_peer review_rem,0.9667121462719164,,,,,,,,,,,,,review_under_threshold_child
77,fuzzy_price_pricing_bandits_decision,"[20, 29]",29,price_pricing_bandits_reserve_bidding,20,fuzzy_inconsistency_indices_decision_inconsistency indices,0.9652812772801038,,,,,,,,,,,,,review_under_threshold_child
76,preference_preference optimization_reward_rlar_omni,"[43, 45]",43,rlar_engagement_grading_graders_ya,45,preference_preference optimization_omni_reward_tso,0.9619438446670429,,,,,,,,,,,,,review_under_threshold_child
75,robot_planning_logic_human robot_belief,"[6, 7, 48]",48,robot_nlc_symbol_human robot_robotic,60,planning_logic_belief_robot_revision,0.9613420854339877,,,,,,,,,,,,,review_under_threshold_child
74,emotion_music_speech_musical_emotion recognition,"[8, 30, 37]",37,music_musical_melody_melodies_midinet,66,emotion_speech_emotion recognition_speaker_recognition,0.960756738847786,,,,,,,,,,,,,review_under_threshold_child
73,fairness_explanations_recommendation_user_users,"[14, 27, 33]",33,fairness_fair_llms_healthcare_demographic,69,explanations_recommendation_user_users_items,0.9583952732580667,,,,,,,,,,,,,review_under_threshold_child
72,chatgpt_mathematics_mathematical_language_problems,"[22, 34]",22,chatgpt_genlangs_cww_eia_lexical diversity,34,mathematics_mathematical_problems_mathematical reasoning_level mathematics,0.9569428589601425,,,,,,,,,,,,,review_under_threshold_child
71,clustering_clusters_rank_number clusters_nmf,"[38, 41]",38,clustering_rank_number clusters_clustering solutions_nmf,41,authorial_topic_morphosyntactic_morphology_legal,0.9550483678407097,,,,,,,,,,,,,review_under_threshold_child
70,time series_rnns_forecasting_series_keyboard,"[32, 47]",32,rnns_keyboard_arnet_dropout_lstms,47,time series_forecasting_series_multivariate time_wind speed,0.9548771063365771,,,,,,,,,,,,,review_under_threshold_child
69,explanations_recommendation_user_users_items,"[14, 27]",14,explanations_explainable_explainable recommendation_interpretable_interpretable machine,27,user_recommendation_item_items_recommendations,0.9425189795856677,,,,,,,,,,,,,review_under_threshold_child
68,causal_probabilistic_bayesian_inference_probabilistic programming,"[12, 13]",12,probabilistic_bayesian_probabilistic programming_inference_bayesian networks,13,causal_causal structure_causal inference_structure learning_causality,0.9382274841017486,,,,,,,,,,,,,review_under_threshold_child
67,images_image_gans_quantization_training,"[9, 18, 19]",19,pruning_quantization_bit_hardware_weight pruning,56,images_image_gans_gan_generative,0.9354593049759025,,,,,,,,,,,,,review_under_threshold_child
66,emotion_speech_emotion recognition_speaker_recognition,"[8, 30]",30,emotion_emotion recognition_emotions_multimodal_recognition,8,speech_speaker_tts_asr_audio,0.9330441091109738,,,,,,,,,,,,,review_under_threshold_child
65,summarization_sentiment_mds_stories_document summarization,"[21, 28]",21,sentiment_sentiment analysis_ratings_email_stories,28,summarization_mds_document summarization_summaries_multi document,0.9327369884577293,,,,,,,,,,,,,review_under_threshold_child
64,ai_consciousness_ethical_intelligence_artificial,"[11, 24]",11,consciousness_intelligence_conscious_hiv_goal directed,24,ai_ethical_moral_irrationalities_regulation,0.924489341046864,,,,,,,,,,,,,review_under_threshold_child
63,mutation_search_optimization_tsp_local search,"[23, 25]",23,mutation_optimization_search_swarm_local search,25,stations_routing_tsp_scheduling_vehicle routing,0.9228130975303631,,,,,,,,,,,,,review_under_threshold_child
62,privacy_dp_mia_private_memorization,"[17, 36]",17,dp_federated_privacy_federated learning_differentially private,36,privacy_mia_memorization_contextual privacy_notes,0.9167483538387745,,,,,,,,,,,,,review_under_threshold_child
61,entity_entities_extraction_word_tables,"[16, 31]",31,extraction_tables_relation extraction_el_scientific,16,entity_word_word embeddings_languages_named entity,0.9152825234619266,,,,,,,,,,,,,review_under_threshold_child
60,planning_logic_belief_robot_revision,"[6, 7]",7,planning_robot_agent planning_agent_pomdp,6,logic_belief_revision_asp_logics,0.9125811413003256,,,,,,,,,,,,,review_under_threshold_child
59,game_games_bribery_votes_voting,"[10, 15]",15,game_games_chess_playing_ludii,10,bribery_votes_voting_frugal_game,0.9082477890364076,,,,,,,,,,,,,review_under_threshold_child
58,ontology_ontologies_knowledge_owl_knowledge graphs,"[4, 26]",26,ontology_owl_ontologies_business_collaborative,4,knowledge_graph_knowledge graphs_embedding_graphs,0.9015103248582873,,,,,,,,,,,,,review_under_threshold_child
57,language_learning_clinical_visual_multimodal,"[0, 1, 2, 5]",53,learning_language_visual_multimodal_reinforcement,2,clinical_medical_patients_health_delirium,0.8939813949516064,,,,,,,,,,,,,review_under_threshold_child
56,images_image_gans_gan_generative,"[9, 18]",9,ray_images_segmentation_image_dose,18,gans_generative_images_image_gan,0.8811792886308277,,,,,,,,,,,,,review_under_threshold_child
55,attack_adversarial_attacks_patch_adversarial patch,"[3, 46]",3,attacks_attack_anomaly_security_cyber,46,patch_adversarial_adversarial patch_patches_stereo,0.8793976377157441,,,,,,,,,,,,,review_under_threshold_child
54,quantum_variational quantum_quantum circuits_circuits_cognition,"[39, 49]",49,quantum_variational quantum_quantum circuits_circuits_variational,39,quantum_cognition_contextuality_quantum theory_quantum mass,0.8394958792815816,,,,,,,,,,,,,review_under_threshold_child
53,learning_language_visual_multimodal_reinforcement,"[0, 1, 5]",5,multimodal_visual_video_image_modal,52,learning_reinforcement_reinforcement learning_policy_language,0.8234556881203632,,,,,,,,,,,,,review_under_threshold_child
52,learning_reinforcement_reinforcement learning_policy_language,"[0, 1]",0,language_dialogue_llms_language models_reasoning,1,learning_reinforcement learning_reinforcement_policy_rl,0.7542927174232505,,,,,,,,,,,,,review_under_threshold_child
